property_type,neighbourhood,estimated_job_size_sqft,requested_timeline,referral_source,homeowner_status,preferred_contact,lead_capture_weather,distance_to_queens_km,customer_age_bracket,has_pets,lead_weekday,lead_month_sin,lead_month_cos
Apartment,Sydenham Ward,477.0,Flexible,Door-to-Door,Own,SMS,Windy,0.2,35-44,True,Friday,-2.4492935982947064e-16,1.0
Townhouse,West End,1075.0,ASAP,Door-to-Door,Own,SMS,Windy,2.23,45-54,False,Sunday,-2.4492935982947064e-16,1.0
Apartment,Sydenham Ward,391.0,1 month,Door-to-Door,Own,SMS,Rain,2.95,25-34,False,Tuesday,0.49999999999999994,0.8660254037844387
Townhouse,West End,1340.0,ASAP,Door-to-Door,Own,Phone Call,Cloudy,3.28,18-24,True,Monday,-2.4492935982947064e-16,1.0
Townhouse,Strathcona Park,1431.0,Flexible,Door-to-Door,Own,SMS,Cloudy,4.53,35-44,False,Wednesday,-2.4492935982947064e-16,1.0
Townhouse,West End,1148.0,Flexible,Facebook Ads,Own,SMS,Snow,1.78,25-34,True,Friday,0.49999999999999994,0.8660254037844387
Semi-Detached,Strathcona Park,1129.0,1-2 weeks,Facebook Ads,Recently Purchased,Email,Snow,2.92,45-54,True,Tuesday,0.8660254037844386,0.5000000000000001
Detached,Calvin Park,1203.0,Flexible,Facebook Ads,Rent,Email,Cloudy,2.36,65+,False,Friday,0.49999999999999994,0.8660254037844387
Townhouse,Strathcona Park,1061.0,Flexible,Facebook Ads,Recently Purchased,SMS,Sunny,3.51,45-54,False,Wednesday,0.49999999999999994,0.8660254037844387
Apartment,Portsmouth Village,445.0,1 month,Facebook Ads,Own,Email,Sunny,2.16,35-44,False,Sunday,0.49999999999999994,0.8660254037844387
Detached,Strathcona Park,2352.0,Flexible,Word of Mouth/Referral,Own,SMS,Sunny,7.88,65+,False,Saturday,0.49999999999999994,0.8660254037844387
Apartment,Calvin Park,612.0,ASAP,Door-to-Door,Rent,Email,Windy,5.25,45-54,True,Friday,-2.4492935982947064e-16,1.0
Apartment,Strathcona Park,848.0,1 month,Facebook Ads,Recently Purchased,Phone Call,Windy,5.84,55-64,False,Saturday,-2.4492935982947064e-16,1.0
Detached,Downtown,1065.0,Flexible,Facebook Ads,Rent,Email,Sunny,2.03,55-64,True,Tuesday,0.49999999999999994,0.8660254037844387
Apartment,West End,475.0,1 month,Door-to-Door,Own,SMS,Sunny,4.93,45-54,True,Tuesday,0.49999999999999994,0.8660254037844387
Detached,Sydenham Ward,1046.0,1 month,Lawn Signs,Own,Phone Call,Rain,1.13,45-54,True,Friday,0.8660254037844386,0.5000000000000001
Detached,Sydenham Ward,2044.0,1-2 weeks,Lawn Signs,Rent,SMS,Cloudy,4.44,45-54,True,Monday,0.49999999999999994,0.8660254037844387
Townhouse,Strathcona Park,1213.0,1-2 weeks,Lawn Signs,Own,Phone Call,Rain,5.24,25-34,False,Monday,-2.4492935982947064e-16,1.0
Townhouse,Downtown,1004.0,Flexible,Facebook Ads,Own,SMS,Rain,2.63,55-64,False,Tuesday,0.49999999999999994,0.8660254037844387
Semi-Detached,West End,1726.0,1 month,Lawn Signs,Own,SMS,Cloudy,2.83,18-24,True,Tuesday,1.0,6.123233995736766e-17
Detached,West End,1268.0,Flexible,Facebook Ads,Own,SMS,Cloudy,1.87,65+,True,Tuesday,0.8660254037844386,0.5000000000000001
Apartment,Downtown,731.0,ASAP,Facebook Ads,Own,Email,Windy,4.56,35-44,False,Sunday,-2.4492935982947064e-16,1.0
Detached,West End,2738.0,1 month,Facebook Ads,Rent,Phone Call,Rain,0.2,25-34,False,Monday,-2.4492935982947064e-16,1.0
Heritage Home,Calvin Park,2373.0,1-2 weeks,Facebook Ads,Own,SMS,Snow,3.92,55-64,True,Monday,-2.4492935982947064e-16,1.0
Apartment,West End,866.0,Flexible,Door-to-Door,Own,Phone Call,Windy,1.85,25-34,False,Thursday,-2.4492935982947064e-16,1.0
Detached,Downtown,670.0,1 month,Facebook Ads,Own,Phone Call,Sunny,3.46,55-64,False,Saturday,-2.4492935982947064e-16,1.0
Townhouse,Strathcona Park,1194.0,1 month,Facebook Ads,Rent,SMS,Rain,5.4,25-34,True,Friday,0.49999999999999994,0.8660254037844387
Apartment,Downtown,863.0,1 month,Lawn Signs,Recently Purchased,Email,Cloudy,4.97,45-54,False,Friday,0.49999999999999994,0.8660254037844387
Detached,Downtown,1925.0,Flexible,Lawn Signs,Recently Purchased,Phone Call,Rain,1.95,25-34,True,Saturday,0.8660254037844386,0.5000000000000001
Heritage Home,Strathcona Park,1495.0,1 month,Word of Mouth/Referral,Own,Email,Rain,2.1,35-44,True,Tuesday,-2.4492935982947064e-16,1.0
Semi-Detached,Strathcona Park,948.0,ASAP,Facebook Ads,Rent,Email,Rain,0.51,25-34,False,Tuesday,0.49999999999999994,0.8660254037844387
Detached,West End,2077.0,Flexible,Lawn Signs,Own,Email,Sunny,1.25,45-54,False,Thursday,-2.4492935982947064e-16,1.0
Townhouse,Downtown,1208.0,Flexible,Facebook Ads,Own,Email,Rain,2.72,35-44,False,Thursday,0.49999999999999994,0.8660254037844387
Detached,Strathcona Park,1326.0,Flexible,Facebook Ads,Own,Email,Snow,0.2,55-64,False,Wednesday,-2.4492935982947064e-16,1.0
Apartment,West End,655.0,1-2 weeks,Facebook Ads,Own,Phone Call,Cloudy,3.96,45-54,False,Sunday,1.0,6.123233995736766e-17
Detached,Downtown,1096.0,1 month,Facebook Ads,Recently Purchased,SMS,Cloudy,5.33,25-34,True,Sunday,0.49999999999999994,0.8660254037844387
Semi-Detached,Portsmouth Village,1380.0,Flexible,Facebook Ads,Own,Email,Sunny,4.21,45-54,False,Sunday,0.8660254037844386,0.5000000000000001
Townhouse,West End,949.0,1 month,Door-to-Door,Own,Phone Call,Rain,3.06,35-44,False,Monday,0.49999999999999994,0.8660254037844387
Apartment,Downtown,801.0,1-2 weeks,Facebook Ads,Own,Phone Call,Sunny,4.61,35-44,True,Sunday,0.8660254037844386,0.5000000000000001
Apartment,Sydenham Ward,1179.0,1-2 weeks,Door-to-Door,Rent,Phone Call,Cloudy,1.23,55-64,True,Thursday,-2.4492935982947064e-16,1.0
Semi-Detached,Sydenham Ward,1983.0,1-2 weeks,Facebook Ads,Recently Purchased,SMS,Cloudy,4.63,35-44,False,Saturday,0.49999999999999994,0.8660254037844387
Apartment,Strathcona Park,360.0,1 month,Lawn Signs,Own,SMS,Rain,4.87,25-34,True,Tuesday,0.8660254037844386,0.5000000000000001
Townhouse,Sydenham Ward,1465.0,Flexible,Facebook Ads,Own,Phone Call,Sunny,3.35,25-34,False,Thursday,0.49999999999999994,0.8660254037844387
Detached,Downtown,1945.0,ASAP,Facebook Ads,Own,SMS,Rain,4.59,18-24,True,Tuesday,0.8660254037844386,0.5000000000000001
Heritage Home,Portsmouth Village,1510.0,1-2 weeks,Facebook Ads,Own,Phone Call,Cloudy,6.92,55-64,False,Friday,0.49999999999999994,0.8660254037844387
Detached,West End,1140.0,ASAP,Facebook Ads,Own,Email,Sunny,4.02,65+,False,Friday,-2.4492935982947064e-16,1.0
Semi-Detached,West End,1975.0,ASAP,Door-to-Door,Rent,Email,Rain,8.37,55-64,True,Wednesday,0.8660254037844386,0.5000000000000001
Apartment,West End,607.0,1-2 weeks,Lawn Signs,Own,Email,Sunny,0.92,25-34,False,Friday,0.49999999999999994,0.8660254037844387
Detached,Downtown,2139.0,Flexible,Facebook Ads,Own,Email,Sunny,7.92,35-44,True,Sunday,0.49999999999999994,0.8660254037844387
Apartment,West End,309.0,1-2 weeks,Facebook Ads,Own,SMS,Rain,5.15,25-34,True,Wednesday,0.8660254037844386,0.5000000000000001
Detached,Calvin Park,713.0,1 month,Door-to-Door,Own,SMS,Sunny,1.74,25-34,False,Thursday,0.8660254037844386,0.5000000000000001
Townhouse,Calvin Park,1169.0,1 month,Lawn Signs,Own,SMS,Rain,8.04,25-34,False,Wednesday,0.49999999999999994,0.8660254037844387
Detached,Sydenham Ward,1636.0,1-2 weeks,Facebook Ads,Own,Phone Call,Sunny,7.18,35-44,False,Tuesday,0.49999999999999994,0.8660254037844387
Semi-Detached,Downtown,1654.0,Flexible,Facebook Ads,Rent,SMS,Sunny,1.54,65+,False,Sunday,0.8660254037844386,0.5000000000000001
Heritage Home,Strathcona Park,2906.0,Flexible,Door-to-Door,Own,Phone Call,Cloudy,3.13,45-54,False,Monday,0.8660254037844386,0.5000000000000001
